Title,Collection_Id,Description
adicciones,2,
adivinanzas,1,
adopción,2,
ajedrez,2,
algarabía,2,
algarabía niños,2,
animales,2,
antropología,2,
arqueología,2,
arte y manualidades,2,
artes,2,
astronomía,2,
bilingüe,2,
biografía,2,
botánica,2,
chispas lectoras,1,
chistes y trabalenguas,1,
ciencia,2,
ciencia ficción,1,
ciencias sociales,2,
clásicos,1,
clásicos para niños,1,
consulta,2,
cosas y lugares,2,
crónica,1,
cuentos,1,
cuerpo humano,2,
cuidado de los hijos,2,
culturas,2,
cómo hacer,2,
danza,2,
de libro a película,1,
deportes,2,
diario,1,
dibujo,2,
diccionarios y enciclopedias,2,
dinosaurios,2,
diversidad,2,
disney,1,
drama,1,
ecología,2,
economía,2,
educación,2,
educación de los hijos,2,
enciclopedias,2,
ensayo,1,
escritura,2,
espiritualidad,2,
experimentos,2,
filosofía,1,
futbol,2,
fábulas,1,
grandes lectores,1,
hadas,1,
historia,2,
informativos,2,
jardinería,2,
juegos tradicionales,2,
juegos y adivinanzas,2,
jóvenes lectores,1,
lectores juveniles,1,
lectores medianas,1,
lectores medianos,1,
libros ilustrados,1,
literatura,1,
literatura clásica,1,
mascotas,2,
matemáticas,2,
medicina,2,
misterio,1,
mitología,1,
mitos y leyendas,1,
mujeres,2,
musica,2,
naturaleza,2,
novela,1,
novela gráfica,1,
pequeños lectores,1,
planetas,2,
plantas,2,
poesía,1,
poesía infantil,1,
prehispánico,2,
recetas,2,
relaciones,2,
religión,2,
revista,2,
revista niños,2,
salud,2,
superheroes,1,
teatro,1,
terror,1,
thriller,1,
